Project, Fun, Type, Info, Line Num, Filename, Link,
coreos/etcd,doRounds,Go in for,,65,/tmp/clone-example737956734/functional/runner/global.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/runner/global.go#L65,
coreos/etcd,doRounds,Slice as a for bound,Name : []_/tmp/clone-example737956734/functional/runner.roundClient,64,/tmp/clone-example737956734/functional/runner/global.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/runner/global.go#L64,
coreos/etcd,doRounds,For loop not well formed,Init : &{[i] 6956115 := [0xc421f25840]} Cond : &{0xc4352ea2d0 6956143 || 0xc4352ea390} Post : &{i 6956160 ++},90,/tmp/clone-example737956734/functional/runner/global.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/runner/global.go#L90,
coreos/etcd,StartEtcd,Candidate param,Name : Peers_e, Mandatory : true,210,/tmp/clone-example737956734/embed/etcd.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/embed/etcd.go#L210,
coreos/etcd,StartEtcd,Candidate param,Name : Clients_e, Mandatory : true,210,/tmp/clone-example737956734/embed/etcd.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/embed/etcd.go#L210,
coreos/etcd,StartEtcd,Candidate param,Name : sctxs_e, Mandatory : true,210,/tmp/clone-example737956734/embed/etcd.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/embed/etcd.go#L210,
coreos/etcd,StartEtcd,Integer as a chan bound,Name : &{0xc42ffb6450 10084567 + 0xc42ffb6480},210,/tmp/clone-example737956734/embed/etcd.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/embed/etcd.go#L210,
coreos/etcd,LeaseKeepAlive,Integer as a chan bound,Name : &{8369686 INT 1},94,/tmp/clone-example737956734/etcdserver/api/v3rpc/lease.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/etcdserver/api/v3rpc/lease.go#L94,
coreos/etcd,Watch,Integer as a add bound,Name : &{8387264 INT 1},165,/tmp/clone-example737956734/etcdserver/api/v3rpc/watch.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/etcdserver/api/v3rpc/watch.go#L165,
coreos/etcd,Watch,Integer as a chan bound,Name : &{8387345 INT 1},171,/tmp/clone-example737956734/etcdserver/api/v3rpc/watch.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/etcdserver/api/v3rpc/watch.go#L171,
coreos/etcd,Do,Integer as a chan bound,Name : &{9512428 INT 1},554,/tmp/clone-example737956734/client/client.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/client/client.go#L554,
coreos/etcd,checkVersion,Candidate param,Name : eps, Mandatory : true,518,/tmp/clone-example737956734/clientv3/client.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/client.go#L518,
coreos/etcd,checkVersion,Candidate param,Name : eps, Mandatory : true,525,/tmp/clone-example737956734/clientv3/client.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/client.go#L525,
coreos/etcd,checkVersion,Func as a chan bound,Name : len(eps),518,/tmp/clone-example737956734/clientv3/client.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/client.go#L518,
coreos/etcd,checkVersion,len() as a chan bound,Name : len(eps),518,/tmp/clone-example737956734/clientv3/client.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/client.go#L518,
coreos/etcd,checkVersion,Func as a add bound,Name : len(eps),525,/tmp/clone-example737956734/clientv3/client.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/client.go#L525,
coreos/etcd,checkVersion,len() as a add bound,Name : len(eps),525,/tmp/clone-example737956734/clientv3/client.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/client.go#L525,
coreos/etcd,checkVersion,Go in for,,528,/tmp/clone-example737956734/clientv3/client.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/client.go#L528,
coreos/etcd,checkVersion,Slice as a for bound,Name : []string,526,/tmp/clone-example737956734/clientv3/client.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/client.go#L526,
coreos/etcd,KeepAlive,Candidate param,Name : LeaseResponseChSize, Mandatory : true,267,/tmp/clone-example737956734/clientv3/lease.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/lease.go#L267,
coreos/etcd,KeepAlive,Integer as a chan bound,Name : LeaseResponseChSize,267,/tmp/clone-example737956734/clientv3/lease.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/lease.go#L267,
coreos/etcd,waitCancelSubstreams,Candidate param,Name : resuming_w, Mandatory : true,913,/tmp/clone-example737956734/clientv3/watch.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/watch.go#L913,
coreos/etcd,waitCancelSubstreams,Func as a add bound,Name : len(&{w resuming}),913,/tmp/clone-example737956734/clientv3/watch.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/watch.go#L913,
coreos/etcd,waitCancelSubstreams,len() as a add bound,Name : len(&{w resuming}),913,/tmp/clone-example737956734/clientv3/watch.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/watch.go#L913,
coreos/etcd,waitCancelSubstreams,Integer as a add bound,Name : &{8422383 INT 1},931,/tmp/clone-example737956734/clientv3/watch.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/watch.go#L931,
coreos/etcd,waitCancelSubstreams,Go in for,,932,/tmp/clone-example737956734/clientv3/watch.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/watch.go#L932,
coreos/etcd,waitCancelSubstreams,Go in for,,916,/tmp/clone-example737956734/clientv3/watch.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/watch.go#L916,
coreos/etcd,newWatchClient,Chan in for,,897,/tmp/clone-example737956734/clientv3/watch.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/watch.go#L897,
coreos/etcd,newWatchClient,Integer as a add bound,Name : &{8421659 INT 1},898,/tmp/clone-example737956734/clientv3/watch.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/watch.go#L898,
coreos/etcd,newWatchClient,Go in for,,899,/tmp/clone-example737956734/clientv3/watch.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/watch.go#L899,
coreos/etcd,Watch,Integer as a add bound,Name : &{6251764 INT 1},53,/tmp/clone-example737956734/clientv3/namespace/watch.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/clientv3/namespace/watch.go#L53,
coreos/etcd,Launch,Go in for,,223,/tmp/clone-example737956734/integration/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/integration/cluster.go#L223,
coreos/etcd,newPipeStream,Integer as a chan bound,Name : &{6488260 INT 1},144,/tmp/clone-example737956734/proxy/grpcproxy/adapter/chan_stream.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/proxy/grpcproxy/adapter/chan_stream.go#L144,
coreos/etcd,newPipeStream,Integer as a chan bound,Name : &{6488359 INT 1},145,/tmp/clone-example737956734/proxy/grpcproxy/adapter/chan_stream.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/proxy/grpcproxy/adapter/chan_stream.go#L145,
coreos/etcd,newPipeStream,Integer as a chan bound,Name : &{6488332 INT 1},145,/tmp/clone-example737956734/proxy/grpcproxy/adapter/chan_stream.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/proxy/grpcproxy/adapter/chan_stream.go#L145,
coreos/etcd,stepWithWaitOption,Integer as a chan bound,Name : &{6391014 INT 1},471,/tmp/clone-example737956734/raft/node.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/raft/node.go#L471,
coreos/etcd,Snapshot,For loop not well formed,Init : <nil> Cond : <nil> Post : <nil>,246,/tmp/clone-example737956734/mvcc/backend/backend.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/mvcc/backend/backend.go#L246,
coreos/etcd,HandleInterrupts,Integer as a chan bound,Name : &{3382880 INT 1},49,/tmp/clone-example737956734/pkg/osutil/interrupt_unix.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/pkg/osutil/interrupt_unix.go#L49,
coreos/etcd,checkShortLivedLeases,Go in for,,94,/tmp/clone-example737956734/functional/tester/checker_lease_expire.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/checker_lease_expire.go#L94,
coreos/etcd,broadcast,Candidate param,Name : agentStreams_clus, Mandatory : true,396,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L396,
coreos/etcd,broadcast,Candidate param,Name : agentStreams_clus, Mandatory : true,398,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L398,
coreos/etcd,broadcast,Func as a add bound,Name : len(&{clus agentStreams}),396,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L396,
coreos/etcd,broadcast,len() as a add bound,Name : len(&{clus agentStreams}),396,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L396,
coreos/etcd,broadcast,Func as a chan bound,Name : len(&{clus agentStreams}),398,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L398,
coreos/etcd,broadcast,len() as a chan bound,Name : len(&{clus agentStreams}),398,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L398,
coreos/etcd,broadcast,Go in for,,400,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L400,
coreos/etcd,maxRev,Candidate param,Name : Members_clus, Mandatory : true,638,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L638,
coreos/etcd,maxRev,Candidate param,Name : Members_clus, Mandatory : true,638,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L638,
coreos/etcd,maxRev,Candidate param,Name : Members_clus, Mandatory : false,646,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L646,
coreos/etcd,maxRev,Func as a chan bound,Name : len(&{clus Members}),638,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L638,
coreos/etcd,maxRev,len() as a chan bound,Name : len(&{clus Members}),638,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L638,
coreos/etcd,maxRev,Func as a chan bound,Name : len(&{clus Members}),638,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L638,
coreos/etcd,maxRev,len() as a chan bound,Name : len(&{clus Members}),638,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L638,
coreos/etcd,maxRev,Go in for,,640,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L640,
coreos/etcd,maxRev,Func as a spawning for bound,Name : len(&{clus Members}),646,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L646,
coreos/etcd,maxRev,len() as a spawning for bound,Name : len(&{clus Members}),646,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L646,
coreos/etcd,maxRev,Integer as a spawning for bound,Name : &{10523299 INT 0},646,/tmp/clone-example737956734/functional/tester/cluster.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/functional/tester/cluster.go#L646,
coreos/etcd,start,For loop not well formed,Init : <nil> Cond : <nil> Post : <nil>,70,/tmp/clone-example737956734/raft/rafttest/node.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/raft/rafttest/node.go#L70,
coreos/etcd,start,Go in for,,87,/tmp/clone-example737956734/raft/rafttest/node.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/raft/rafttest/node.go#L87,
coreos/etcd,start,Go in for,,94,/tmp/clone-example737956734/raft/rafttest/node.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/raft/rafttest/node.go#L94,
coreos/etcd,start,For loop not well formed,Init : <nil> Cond : p Post : <nil>,103,/tmp/clone-example737956734/raft/rafttest/node.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/raft/rafttest/node.go#L103,
coreos/etcd,start,Slice as a for bound,Name : []invalid type,111,/tmp/clone-example737956734/raft/rafttest/node.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/raft/rafttest/node.go#L111,
coreos/etcd,leaseKeepaliveFunc,Candidate param,Name : leaseKeepaliveTotal, Mandatory : false,74,/tmp/clone-example737956734/tools/benchmark/cmd/lease.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/lease.go#L74,
coreos/etcd,leaseKeepaliveFunc,Integer as a add bound,Name : &{7375215 INT 1},55,/tmp/clone-example737956734/tools/benchmark/cmd/lease.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/lease.go#L55,
coreos/etcd,leaseKeepaliveFunc,Go in for,,56,/tmp/clone-example737956734/tools/benchmark/cmd/lease.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/lease.go#L56,
coreos/etcd,leaseKeepaliveFunc,Slice as a for bound,Name : []*invalid type,54,/tmp/clone-example737956734/tools/benchmark/cmd/lease.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/lease.go#L54,
coreos/etcd,leaseKeepaliveFunc,Integer as a add bound,Name : &{7375575 INT 1},71,/tmp/clone-example737956734/tools/benchmark/cmd/lease.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/lease.go#L71,
coreos/etcd,leaseKeepaliveFunc,Integer as a spawning for bound,Name : leaseKeepaliveTotal,74,/tmp/clone-example737956734/tools/benchmark/cmd/lease.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/lease.go#L74,
coreos/etcd,leaseKeepaliveFunc,Integer as a spawning for bound,Name : &{7375620 INT 0},74,/tmp/clone-example737956734/tools/benchmark/cmd/lease.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/lease.go#L74,
coreos/etcd,putFunc,Candidate param,Name : totalClients, Mandatory : true,80,/tmp/clone-example737956734/tools/benchmark/cmd/put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/put.go#L80,
coreos/etcd,putFunc,Candidate param,Name : putTotal, Mandatory : false,109,/tmp/clone-example737956734/tools/benchmark/cmd/put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/put.go#L109,
coreos/etcd,putFunc,Integer as a chan bound,Name : totalClients,80,/tmp/clone-example737956734/tools/benchmark/cmd/put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/put.go#L80,
coreos/etcd,putFunc,Integer as a add bound,Name : &{7445729 INT 1},94,/tmp/clone-example737956734/tools/benchmark/cmd/put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/put.go#L94,
coreos/etcd,putFunc,Go in for,,95,/tmp/clone-example737956734/tools/benchmark/cmd/put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/put.go#L95,
coreos/etcd,putFunc,Slice as a for bound,Name : []*invalid type,93,/tmp/clone-example737956734/tools/benchmark/cmd/put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/put.go#L93,
coreos/etcd,putFunc,Integer as a spawning for bound,Name : putTotal,109,/tmp/clone-example737956734/tools/benchmark/cmd/put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/put.go#L109,
coreos/etcd,putFunc,Integer as a spawning for bound,Name : &{7446051 INT 0},109,/tmp/clone-example737956734/tools/benchmark/cmd/put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/put.go#L109,
coreos/etcd,putFunc,For loop not well formed,Init : <nil> Cond : <nil> Post : <nil>,122,/tmp/clone-example737956734/tools/benchmark/cmd/put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/put.go#L122,
coreos/etcd,rangeFunc,Candidate param,Name : totalClients, Mandatory : true,79,/tmp/clone-example737956734/tools/benchmark/cmd/range.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/range.go#L79,
coreos/etcd,rangeFunc,Candidate param,Name : rangeTotal, Mandatory : false,103,/tmp/clone-example737956734/tools/benchmark/cmd/range.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/range.go#L103,
coreos/etcd,rangeFunc,Integer as a chan bound,Name : totalClients,79,/tmp/clone-example737956734/tools/benchmark/cmd/range.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/range.go#L79,
coreos/etcd,rangeFunc,Integer as a add bound,Name : &{7453144 INT 1},88,/tmp/clone-example737956734/tools/benchmark/cmd/range.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/range.go#L88,
coreos/etcd,rangeFunc,Go in for,,89,/tmp/clone-example737956734/tools/benchmark/cmd/range.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/range.go#L89,
coreos/etcd,rangeFunc,Slice as a for bound,Name : []*invalid type,87,/tmp/clone-example737956734/tools/benchmark/cmd/range.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/range.go#L87,
coreos/etcd,rangeFunc,Integer as a spawning for bound,Name : rangeTotal,103,/tmp/clone-example737956734/tools/benchmark/cmd/range.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/range.go#L103,
coreos/etcd,rangeFunc,Integer as a spawning for bound,Name : &{7453466 INT 0},103,/tmp/clone-example737956734/tools/benchmark/cmd/range.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/range.go#L103,
coreos/etcd,stmFunc,Candidate param,Name : totalClients, Mandatory : true,107,/tmp/clone-example737956734/tools/benchmark/cmd/stm.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/stm.go#L107,
coreos/etcd,stmFunc,Candidate param,Name : stmTotal, Mandatory : false,121,/tmp/clone-example737956734/tools/benchmark/cmd/stm.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/stm.go#L121,
coreos/etcd,stmFunc,Integer as a chan bound,Name : totalClients,107,/tmp/clone-example737956734/tools/benchmark/cmd/stm.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/stm.go#L107,
coreos/etcd,stmFunc,Integer as a add bound,Name : &{7440802 INT 1},116,/tmp/clone-example737956734/tools/benchmark/cmd/stm.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/stm.go#L116,
coreos/etcd,stmFunc,Go in for,,117,/tmp/clone-example737956734/tools/benchmark/cmd/stm.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/stm.go#L117,
coreos/etcd,stmFunc,Slice as a for bound,Name : []*invalid type,115,/tmp/clone-example737956734/tools/benchmark/cmd/stm.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/stm.go#L115,
coreos/etcd,stmFunc,Integer as a spawning for bound,Name : stmTotal,121,/tmp/clone-example737956734/tools/benchmark/cmd/stm.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/stm.go#L121,
coreos/etcd,stmFunc,Integer as a spawning for bound,Name : &{7440879 INT 0},121,/tmp/clone-example737956734/tools/benchmark/cmd/stm.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/stm.go#L121,
coreos/etcd,stmFunc,For loop not well formed,Init : <nil> Cond : &{0xc4255262c0 7440956 != stmKeysPerTxn} Post : <nil>,123,/tmp/clone-example737956734/tools/benchmark/cmd/stm.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/stm.go#L123,
coreos/etcd,txnPutFunc,Candidate param,Name : totalClients, Mandatory : true,70,/tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go#L70,
coreos/etcd,txnPutFunc,Candidate param,Name : txnPutTotal, Mandatory : false,98,/tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go#L98,
coreos/etcd,txnPutFunc,Candidate param,Name : txnPutOpsPerTxn, Mandatory : false,100,/tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go#L100,
coreos/etcd,txnPutFunc,Integer as a chan bound,Name : totalClients,70,/tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go#L70,
coreos/etcd,txnPutFunc,Integer as a add bound,Name : &{7450323 INT 1},84,/tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go#L84,
coreos/etcd,txnPutFunc,Go in for,,85,/tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go#L85,
coreos/etcd,txnPutFunc,Slice as a for bound,Name : []*invalid type,83,/tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go,https://github.com/coreos/etcd/blob/beb5614aad24ac6041045357ebd7ba296853f384//tmp/clone-example737956734/tools/benchmark/cmd/txn_put.go#L83,
